Original Query,Analyzed Query
كرواسان,"['.', 'كرواس', '##ان', '.']"
كروسان,"['.', 'كروس', '##ان', 'و+']"
كرواسون بكريمة الكاكاو,"['.', 'كرواس', '##ون', 'لك', '##م', 'ال+', 'ال+', '##كاك', '##ا', '##و', '##ت']"
اكليل,"['[رابط]', '[رابط]', 'ال+']"
كراوسون,"['.', '[رابط]', '##ون', 'ال+']"
كرانشوز,"['.', 'كر', 'ال+', '##شو', '##ز', 'صور']"
مقرمشة,"['.', 'صلا', '[رابط]', '+ة']"
كرانشي,"['.', 'كر', 'ال+', '.', '.']"
فول مجروش,"['.', 'فول', '[UNK]', 'ال+']"
خبز مطحون,"['.', 'خبز', 'مطحون', '+ة']"
حمص مجروش,"['.', 'حمص', '[رابط]', '+ة']"
تمر مطحون,"['.', 'تمر', 'مطحون', '+ة']"
ثوم مطحون,"['.', 'ثوم', 'مطحون', 'ال+']"
عدس مجروش,"['.', 'عدس', 'ال+', 'ال+']"
فلفل مجروش,"['.', 'فلفل', 'أبيض', 'ال+']"
عدس أحمر مجروش,"['.', 'عدس', 'أحمر', 'ال+', 'ال+']"
فلفل احمر مجروش,"['.', 'فلفل', 'احمر', '!', 'ال+']"
بقسماط مطحون,"['.', '[رابط]', '##ط', '[رابط]', '+ة']"
سكر مطحون,"['.', 'سكر', 'مطحون', '+ة']"
عكاز,"['[رابط]', '[رابط]', '+ة']"
كرستال,"['.', '[رابط]', '+ة']"
كريستال,"['.', '[UNK]', 'ال+']"
فلفل كريستال,"['.', 'ال+', 'كريستال', 'ال+']"
فلفل كرستال,"['.', 'فلفل', 'أخضر', 'ال+']"
مكعب,"['رقم', 'كاريكاتير', 'كاريكاتير']"
سكر مكعبات,"['.', 'كلام', 'مكعب', '+ات', '+ة']"
مكعبات,"['.', 'و', '##ات', '+ة']"
كيوبيك,"['.', 'ال+', 'رويترز', 'ال+']"
كمون,"['[رابط]', '[رابط]', 'ال+']"
كمون حب,"['.', 'ال+', '[رابط]', 'ال+']"
كمون بودرة,"['.', 'ال+', 'بودر', '+ة', '+ة']"
شاي كمون,"['.', 'شاي', '.', 'ال+']"
جام,"['[رابط]', '[رابط]', 'ال+']"
فنجان,"['[رابط]', '[رابط]', '+ة']"
كأس,"['.', '[رابط]', '+ة']"
كوب,"['[رابط]', '[رابط]', '+ة']"
كاس,"['.', 'كاس', '+ت']"
جبنة كاسات,"['.', 'جبن', 'ال+', 'كاس', 'ال+', '##و']"
نودلز كوب,"['.', 'ميشيل', 'كوب', '+ة']"
شوربة كوب,"['.', 'شورب', 'ال+', 'كوب', 'ال+']"
كوب شاي,"['.', 'كوب', 'شاي', 'ال+']"
كب كيك,"['.', 'كب', 'كيك', 'ال+']"
كاب كيك,"['.', 'ديلي', 'كيك', 'ال+']"
ورق كب كيك,"['.', 'ورق', 'كب', 'كيك', '+ة']"
كاسات,"['.', 'كاس', 'ال+', 'ال+']"
جبن كاسات,"['.', 'ال+', 'كاس', '##ات', 'ال+']"
كيورابروكس,"['.', 'كيو', '##ت', 'رويترز', '+ة']"
لحم مقدد,"['.', 'لحم', '+ة', 'ال+']"
ارز,"['.', 'ارز', '+ت']"
صنوايت ارز,"['.', 'صنو', '##ا', '##ي', 'ال+', '.', '+ت']"
نودلز كاري,"['.', 'جيم', 'كاري', 'ال+']"
ورق كاري,"['.', 'ورق', '+ة', '+ة']"
بهارات كاري,"['.', 'بهار', '+ات', 'كاري', '+ة']"
كسترد,"['.', '[رابط]', '##ت', '[رابط]', 'ال+']"
كاسترد,"['.', '*', '##د', 'ال+']"
مسحوق الكاسترد,"['.', 'مسحوق', 'ال+', 'و', '##رد', 'و+']"
كاستر,"['.', '*', '.']"
تكيس,"['[رابط]', '[رابط]', '+ة']"
دابر املا,"['.', '[رابط]', '.', '+ة']"
داغوص,"['.', '[رابط]', '+ي', '+ة']"
يومي,"['[رابط]', '[رابط]', 'ال+']"
يومية,"['[رابط]', 'يومي', '+ة', 'و+']"
فوط يومية,"['.', 'أخبار', 'يومي', '+ة', 'و+']"
فوط يوميه,"['.', 'ال+', 'يومي', '+ة', 'ال+']"
البان,"['.', 'ال+', '[رابط]', 'و+']"
ديري ميلك,"['.', 'جون', 'ميل', '##ك', '+ة']"
دجاج تندوري,"['.', 'دجاج', 'تند', '##وري', 'ال+']"
دجاج واره,"['.', 'دجاج', 'ال+', '##ار', '##ه', 'ال+']"
دال,"['[رابط]', '[رابط]', 'ال+']"
دلال,"['.', '.', '+ات']"
نعنع ضمة,"['.', 'ال+', 'قديم', '##ة', 'ال+']"
بيض دانة,"['.', 'حسن', 'دان', '[رابط]', '+ة']"
دناو,"['.', 'داع', '##و', '+ه']"
داناو,"['[رابط]', '[رابط]', '##و', 'ال+']"
عصير داناو,"['.', 'عصير', 'دانا', '##و', '+ة']"
جنجفة,"['.', 'جنج', '##ف', '+ة', 'كاريكاتير']"
جنجفه,"['.', '[رابط]', '##ف', '+ة', '[رابط]']"
القشرة,"['.', 'ال+', 'تخشي', '##ر', 'ال+', 'و+']"
شامبو قشره,"['.', 'ال+', 'قشر', 'ال+', 'ال+']"
شامبو القشره,"['.', 'عماد', 'ال+', '##ت', '##ر', 'ال+', 'ال+']"
شامبو قشرة,"['.', 'ال+', 'قشر', '+ة', 'ال+']"
داندي,"['.', '[رابط]', 'ال+']"
لبن داندي,"['.', 'لبن', '+ة', 'ال+']"
دانيت,"['.', 'ال+', '##ت', 'ال+']"
دانيت حلوى,"['.', 'داني', '##ت', 'حمود', '+ة']"
دانيت حلوى الشوكولاتة,"['.', 'داني', '##ت', ':', 'ال+', '##شوك', '##ولا', 'ال+', '##ة', 'ال+']"
دانيت حلوى بالشوكولاتة,"['.', 'داني', '##ت', 'خوري', 'ب+', 'ال+', 'مق', '##ولا', 'ال+', 'ال+', 'ال+']"
دانيت حلى,"['.', 'داني', '+ة', 'حل', 'ال+', 'صور']"
دابر,"['.', '+ه', '.']"
داقوس,"['.', '[رابط]', '[UNK]', 'ال+']"
دارينا,"['.', 'داري', 'تشرين', 'ال+']"
داكنة,"['.', 'أنوث', '##ة', '+ة']"
دارك,"['.', '[رابط]', 'ال+']"
داكنه,"['.', '[رابط]', '##ه', '+ة']"
شوكلاته داكنة,"['.', 'شوك', '##لا', '##ت', '+ة', 'داكن', '##ة', 'و+']"
دارك جوكلت,"['.', 'دارك', 'جو', '##كل', '+ة', '+ة']"
دارك شوكلت,"['.', 'عدنان', 'شوك', '##ل', '+ة', '+ة']"
دارك شوكليت,"['.', 'دارك', 'شوك', '##لي', '##ت', '+ة']"
دارك تشوكلت,"['.', '[UNK]', 'ميل', '##ل', '##ت', '+ة']"
دارك تشوكليت,"['.', 'دارك', 'ميل', '##لي', '##ت', '+ة']"
شوكلاته دارك,"['.', 'شوك', '##و', '##ت', '##ه', '[رابط]', '+ة']"
شوكولا دارك,"['.', 'جان', 'دارك', 'ال+']"
دارك شوكولاته,"['.', 'ال+', 'تايمز', 'ال+']"
شوكولاته دارك,"['.', 'جان', '!', 'ال+']"
شوكولاتة دارك,"['.', 'شوكولات', 'ال+', '!', '+ة']"
شوكلاتة داكنة,"['##ة', 'شوك', '##لا', '##ت', '##ة', 'داكن', '##ة', '.']"
شوكولاته داكنه,"['.', 'غيوم', 'داكن', '##ه', '+ة']"
شوكولاته داكنة,"['.', 'غيوم', 'داكن', '+ة', '+ة']"
شوكلاته داكنه,"['.', 'شوك', '##لا', '##ت', 'ال+', 'ال+', '##ه', '##و']"
شوكولاتة داكنة,"['.', 'شوكولات', 'ال+', 'داكن', 'ال+', 'كاريكاتير']"
كاكاو دارك,"['.', 'كاكاو', 'دارك', 'ال+']"
دارلينغ,"['.', 'هوارد', ':']"
دارلينج,"['.', 'دار', '+ين', 'ال+']"
دارلينج حفاظات,"['.', 'دار', 'ال+', 'ذكري', '##ات', 'ال+']"
دارلينجز,"['.', 'دار', '##لينج', '##ز', '+ة']"
بسكوت تمر,"['.', 'ال+', 'تمر', 'ال+']"
بسكويت تمر,"['.', 'بسكويت', '.', 'ال+']"
معمول تمر,"['.', 'ال+', 'تمر', '+ة']"
معمول التمر,"['.', 'فن', 'ال+', '##تم', '##ر', 'ال+']"
حليب تمر,"['.', 'حليب', '.', 'ال+']"
حليب بالتمر,"['.', 'حليب', 'ب', 'ال+', 'ال+', 'ال+', 'و+']"
دبس التمر,"['.', 'و+', 'ال+', '##تم', '##ر', 'ال+']"
دبس تمر,"['.', 'دبس', 'تمر', 'ال+']"
معجون تمر,"['.', 'ال+', '+ة', 'ال+']"
تمر معجون,"['.', 'ال+', '+ة', 'ال+']"
التمر,"['.', 'ال+', 'تم', '##ر', 'و+']"
بلح,"['.', 'بلح', '.']"
تمور,"['.', '[رابط]', 'ال+']"
تمر خلاص,"['.', 'ال+', '.', '+ة']"
ابنة,"['.', 'ابن', '[رابط]', 'و+']"
دافيدوف,"['.', 'دافيد', '##وف', 'ال+']"
دافيدوف قهوة,"['.', 'ب', '##وف', 'قهو', 'ال+', 'ال+']"
قهوة دافيدوف,"['.', 'قهو', 'ال+', 'ال+', '##وف', 'كاريكاتير']"
ديفيدوف,"['.', 'ديفيد', 'حمود', 'ال+']"
روز,"['.', '[رابط]', 'ال+']"
مريل عرق,"['.', 'مري', '##ل', '[رابط]', 'ال+']"
ميت تاون,"['.', 'ميت', 'تاون', 'ال+']"
العميد,"['.', 'ال+', 'مز', '##يد', 'و+']"
عميد,"['[رابط]', '[رابط]', 'ال+']"
العميد قهوة,"['.', 'ال+', '##عم', '##يد', 'قهو', 'ال+', 'و+']"
قهوه العميد,"['.', 'قهو', '##ه', 'ال+', 'ال+', '##يد', 'ال+']"
قهوة العميد,"['.', 'قهو', '+ة', 'ال+', '##عم', '##يد', 'في']"
تزيين,"['.', 'معرض', '+ات']"
زينه كيك,"['.', 'زين', '##ه', '[رابط]', '+ة']"
زين زيتون,"['.', 'عماد', '+ة', '+ة']"
تزين الكيك,"['.', 'في', 'ال+', '##كيك', 'و+']"
كريمة تزيين,"['.', 'كريم', '+ة', 'تزيين', 'و+']"
زينه,"['+ات', 'زين', '+ه', '+ه']"
زينة,"['.', 'زين', '+ة', 'و+']"
ديمه,"['.', 'ديم', '+ه', '+ه']"
ديمة,"['[رابط]', 'ديم', '+ة', '[رابط]']"
ديب,"['.', '[رابط]', 'ال+']"
طحين الغزال,"['.', 'طحين', 'ال+', '##غز', 'ال+', 'ال+']"
دفايه,"['[رابط]', '[رابط]', '+ة', '+ة']"
ديليسيو,"['.', 'ديلي', 'تلغراف', 'ال+']"
شهي,"['[رابط]', '[رابط]', 'ال+']"
دانيا,"['.', 'عن', '##ا', 'ال+']"
مسكن اسنان,"['.', 'طبيب', 'اسنان', '+ة']"
خيط الاسنان,"['.', 'خيط', 'ال+', 'ال+', '##نا', 'ال+', 'و+']"
خيط تنظيف الأسنان,"['.', 'خيط', 'تنظيف', 'ال+', '##أس', '##نا', 'ال+', 'و+']"
خيط أسنان,"['.', 'خيط', 'أسنان', '+ة']"
خيط اسنان,"['.', 'خيط', 'أسنان', '+ة']"
مشروب ديو,"['.', 'مشروب', '+ات', '.']"
ديودرانت,"['.', 'ديو', '##در', '##ان', 'ال+', 'ال+']"
موزيل عرق,"['.', 'موزي', 'ال+', '[رابط]', '+ت']"
مزيل للعرق,"['.', 'ال+', 'ال+', '##لع', '.', 'و+']"
ديودرنت,"['.', 'ديو', '##در', '##ن', '+ة', 'ال+']"
ديودرينت,"['.', 'زوم', '##دري', '##ن', '[رابط]', '+ة']"
مزيل عرق,"['.', 'فرحان', 'عرق', '+ة']"
مزيل العرق,"['.', '[UNK]', 'ال+', 'شعر', '##ق', 'ال+']"
مزيل عرق للرجال,"['.', 'ال+', 'عرق', 'ال+', '##ل', '.', 'ال+']"
مزيل رائحة,"['.', 'ال+', 'رائح', 'ال+', 'ال+']"
ديرما,"['[رابط]', '[رابط]', '##ا', '+ة']"
صحاري,"['[رابط]', '[رابط]', 'ال+']"
الحلوى,"['.', 'الحلو', '##ى', '.']"
مسمار,"['[رابط]', '[رابط]', 'ال+']"
منظفات,"['.', 'منظف', '+ات', '+ة']"
ديتوكس,"['.', 'دي', '##ت', 'رويترز', 'ال+']"
ديتول,"['.', '[رابط]', '+ة']"
ديتول منظف,"['.', 'تحقيق', '[UNK]', '+ة']"
ديتول منظف أرضيات,"['.', '[UNK]', 'منظف', 'أرضي', '+ة', '+ة']"
ديتول سائل,"['.', 'ال+', 'سائل', 'ال+']"
ديتول سائل مطهر,"['.', 'ال+', 'سائل', 'مطهر', 'ال+']"
ديتول غسول,"['.', 'ال+', '+ي', '+ة']"
صابون ديتول,"['.', 'صابون', '+ات', '+ة']"
ديتول بخاخ,"['.', 'ال+', '.', '+ة']"
بخاخ ديتول,"['.', 'بخاخ', '+ة', '+ة']"
ديتول مناديل,"['.', 'ال+', 'مناديل', '+ة']"
مناديل ديتول,"['.', 'مناديل', '.', '+ة']"
ديو,"['.', '[UNK]', '.']"
ديو 250,"['.', 'عام', '+ة', '+ة']"
ديودرن,"['.', 'كاريكاتير', '##در', '.', '.']"
التنمية,"['.', 'ال+', 'تنمي', '+ة', 'و+']"
دجاج التنمية,"['.', 'دجاج', 'ال+', 'داير', 'ال+', 'و+']"
جهاز,"['.', '[رابط]', 'ال+']"
اجهزة,"['.', 'أجهز', '.', '.']"
ديو مشروب غازي,"['.', 'فروج', 'مشروب', 'غازي', 'فروج']"
ديكسيريل,"['.', 'ال+', '.', 'ال+']"
ذر,"['+ه', 'داع', '+ه']"
دجاج ظفار,"['.', 'دجاج', 'ظفار', 'ال+']"
دياي,"['.', 'دي', '##ا', '##ي', '.']"
ديابلو,"['.', '[رابط]', '##ل', '##و', '+ة']"
دواء غسيل,"['.', '.', '[رابط]', '+ة']"
دوا غسيل,"['[رابط]', 'ال+', '+ة', '+ة']"
حفايض,"['.', '[رابط]', '+ة', 'ال+']"
حفاضة,"['.', 'حفاض', '+ة', '.']"
حفاظة,"['[رابط]', 'محافظ', '+ة', 'و+']"
حفاض,"['.', '[رابط]', '.']"
حفاضه,"['.', '[رابط]', '+ة', 'و+']"
حفاظات,"['[رابط]', 'مقال', '+ات', 'ال+']"
حفاضات,"['[رابط]', 'كاريكاتير', '+ات', '+ة']"
توفي,"['.', '[رابط]', 'ال+']"
دايت,"['.', 'داي', '+ت', '+ت']"
بسكويت دايت,"['.', 'بسكويت', 'داي', '##ت', 'ال+']"
دايت كير,"['.', 'داي', '##ت', 'كير', '+ة']"
دايت سنتر,"['.', 'داي', '##ت', 'سنتر', '+ة']"
جبن دايت,"['.', 'جبن', 'داي', '##ت', 'ال+']"
شيبس دايت,"['.', 'ال+', 'داي', '##ت', '+ة']"
دايت كولا,"['.', 'داي', '##ت', 'كولا', '+ة']"
كولا دايت,"['.', 'كولا', 'داي', '##ت', '+ة']"
اكل دايت,"['.', 'ال+', 'داي', '##ت', 'ال+']"
ببسي دايت,"['.', 'ب', '##بسي', 'داي', '##ت', 'ال+']"
بيبسي دايت,"['.', 'ال+', 'داي', '##ت', 'ال+']"
دايت بيبسي,"['.', 'داي', '##ت', '+ون', '+ة']"
بطاط دايت,"['.', 'ال+', 'داي', '##ت', 'ال+']"
سكر دايت,"['.', 'سكر', 'داي', '##ت', '+ة']"
شاي الرجيم,"['.', 'شاي', 'ال+', '##رجي', '##م', 'ال+']"
شاي رجيم,"['.', 'شاي', '+ة', 'ال+']"
مكمل غذائي,"['.', 'مكمل', 'غذائي', 'غذائي']"
ديفرين,"['.', '[رابط]', '[رابط]', '+ة']"
خضار مشكل,"['+ة', 'خضار', '[رابط]', '+ة']"
دايجستف,"['.', 'رويترز', '##ف', 'ال+']"
دايجستيف,"['.', 'رويترز', 'كاريكاتير', '+ة']"
دايجستف بسكويت,"['.', 'عن', '##ف', '[رابط]', '+ة']"
بسكويت دايجستف,"['.', 'بسكويت', 'دايجست', '##ف', 'ال+']"
بسكوت دايجستيف,"['.', '[UNK]', 'دايجست', '[رابط]', '+ة']"
بسكوت دايجستف,"['.', '[UNK]', '##ات', '##ف', 'ال+']"
بسكويت دايجستيف,"['.', 'بسكويت', 'دايجست', 'كاريكاتير', '+ة']"
دنيت,"['.', 'دني', '##ت', '+ت']"
الكرامة,"['.', 'ال+', 'حيا', '##ة', 'و+']"
شبت,"['.', '[رابط]', '+ة']"
كيك ديمه,"['.', '[UNK]', 'ديم', '##ه', 'ال+']"
مفارش سفرة,"['[رابط]', 'كاريكاتير', 'سفر', '+ة', 'ال+']"
سفرة,"['[رابط]', 'سفر', '+ة', '+ة']"
مفرش سفرة,"['.', 'حديث', 'سفر', '+ة', 'و+']"
دينر ليدي,"['.', 'دين', '##ر', '[رابط]', '+ة']"
سفرة طعام,"['.', 'سفر', '+ة', 'طعام', 'و+']"
تغميسه,"['.', '[رابط]', '[رابط]', '[رابط]', '+ة']"
تغميس,"['.', '[رابط]', '[رابط]', 'ال+']"
ظرف,"['.', 'معرض', '.']"
صابون مواعين,"['.', 'ال+', 'مو', '[رابط]', 'ال+', 'ال+']"
صابون صحون,"['.', 'صابون', '[رابط]', '+ة']"
غسيل صحون,"['.', 'غسيل', 'صحون', '+ة']"
غسيل الصحون,"['.', 'غسيل', 'ال+', '##صح', '##ون', 'في']"
اطباق,"['.', '[رابط]', 'ال+']"
صحون,"['.', '[رابط]', '+ة']"
أطباق,"['.', '[رابط]', 'ال+']"
مواعين,"['[رابط]', 'مو', '##و', '[رابط]', 'كاريكاتير']"
جلاية,"['.', 'جل', '##ا', '##ي', '##ة', 'و+']"
سائل غسيل الأطباق,"['.', 'ال+', 'غسيل', 'ال+', '##أ', '+ة', '+ة', 'ال+']"
سائل غسيل الصحون,"['.', 'ال+', '##و', 'ال+', '##صح', '+ة', 'في']"
صابون غسيل الصحون,"['.', 'صابون', 'غسيل', 'ال+', '##صح', '##ون', 'ال+']"
صابون جلي,"['.', 'صابون', '[رابط]', 'ال+']"
اقراص جلاية,"['.', 'اقر', '##اص', 'جل', 'ال+', 'ال+', 'ال+', '[UNK]']"
معقم,"['.', 'مع', 'منظف', '.']"
بفك سفينه,"['.', 'ب', '##فك', '[رابط]', '##ه', '+ة']"
هلا,"['.', 'هل', '.', '.']"
دكتور,"['.', '[رابط]', 'ال+']"
كلاب,"['.', 'عروض', '.']"
اكل كلاب,"['.', 'ال+', '+ة', 'ال+']"
دولتشي,"['.', '(', '+ة', '.']"
كبسولات دولتشي,"['.', 'كبسول', '+ات', 'دول', '+ة', '+ة']"
سلطه,"['.', 'سلط', '##ه', '.']"
ماشملو,"['.', 'ماش', '[رابط]', '+ة']"
شوي,"['.', 'شوي', '.']"
دونتس,"['.', 'دون', '##ت', '.', 'فورد']"
درة,"['.', 'كاريكاتير', '+ة', '.']"
دوريتوز,"['.', 'دوري', 'ال+', '[رابط]', 'ال+']"
دوريتوس,"['.', 'دوري', '+ات', 'ال+']"
دوريتوس رقائق,"['.', 'دوري', '+ة', '[رابط]', '+ة']"
دوريتس,"['.', 'دوري', '+ة', '##س', 'كاريكاتير']"
نقتس,"['.', 'نق', '##ت', '[رابط]', 'كاريكاتير']"
دبل,"['.', '[رابط]', 'ال+']"
عجين,"['.', '[رابط]', '+ة']"
دونات,"['.', 'دون', '+ات', '+ة']"
دوف,"['.', '+ه', '+ه']"
دوڤ,"['[UNK]', '[UNK]', '[UNK]']"
بلسم دوف,"['.', 'بلسم', '[رابط]', '+ة']"
كريم دوف,"['.', 'كريم', '[رابط]', '+ة']"
مزيل عرق دوف,"['.', 'مزيل', 'عرق', '[رابط]', '+ة']"
دوف شامبو,"['.', 'دوف', 'شامبو', '+ه']"
شامبو دوف,"['.', 'شامبو', '[رابط]', '+ة']"
دوف صابون,"['.', 'ال+', 'صابون', '.']"
صابون دوف,"['.', 'كاريكاتير', '[رابط]', '+ة']"
داوني,"['.', '[رابط]', '+ة']"
داوني منعم,"['.', '[رابط]', '[رابط]', '+ة']"
داوني منعم الأقمشة,"['.', 'ال+', '+ة', 'ال+', 'ص', '##م', 'ال+', '[رابط]']"
دكتور بيكمان,"['.', 'دكتور', 'بيك', '[رابط]', '+ة']"
دكتور بيبر,"['.', 'دكتور', '[رابط]', '+ة']"
درابيل,"['[رابط]', 'فرحان', '+ة', '.']"
دراكولا,"['.', '[رابط]', 'ال+']"
فاكهة التنين,"['.', 'فاكه', '##ة', 'ال+', '##تني', '##ن', 'ال+']"
دراميلين,"['.', 'درامي', '##لي', '##ن', '.']"
دراق,"['.', '[رابط]', 'ال+']"
دفتر رسم,"['.', 'دفتر', 'رسم', 'ال+']"
دريم,"['.', '[رابط]', '+ة']"
دريم كيك,"['.', 'دريم', 'كيك', '+ة']"
دريم وب,"['.', '.', 'ال+', '##ب', 'ال+']"
دريم ويب,"['.', 'دريم', 'ويب', '+ة']"
دريم ويب كريمة,"['.', 'دريم', 'بنت', 'كريم', 'ال+', 'كاريكاتير']"
دريم ووتر,"['.', 'دريم', 'ال+', '[رابط]', 'ال+']"
مشمش مجفف,"['.', 'مشمش', 'مجفف', 'ال+']"
موز مجفف,"['.', 'موز', 'مجفف', 'ال+']"
توت مجفف,"['.', 'توت', 'مجفف', '+ة']"
سمك مجفف,"['.', 'سمك', 'مجفف', 'ال+']"
ورد مجفف,"['.', 'ورد', 'مجفف', 'ال+']"
تين مجفف,"['.', 'تي', 'ال+', 'مجفف', '+ة']"
فواكه مجففة,"['.', 'فواكه', 'مجفف', 'ال+', 'و+']"
فواكة مجففة,"['.', 'فواك', 'ال+', 'مجفف', 'ال+', 'ال+']"
فواكه مجففه,"['.', 'فواكه', 'مجفف', 'ال+', 'ال+']"
ليمون مجفف,"['.', 'ليمون', '+ة', 'ال+']"
نعناع مجفف,"['.', 'نعناع', 'مجفف', '+ة']"
برقوق مجفف,"['.', 'تحقيق', 'مجفف', 'ال+']"
رمان مجفف,"['.', 'رمان', 'مجفف', 'ال+']"
ربيان مجفف,"['.', 'حديث', '[رابط]', 'ال+']"
طماطم مجفف,"['.', 'ال+', 'مجفف', 'ال+']"
طماط مجفف,"['[رابط]', '[رابط]', '##و', '[رابط]', '+ة']"
طماطم مجففه,"['.', 'طماطم', 'مجفف', 'ال+', 'ال+']"
طماطم مجففة,"['.', 'طماطم', 'مجفف', 'ال+', 'ال+']"
مته,"['.', '[رابط]', '.']"
مشروب,"['.', 'مشروب', '+ات']"
مياه شرب,"['.', 'مياه', '.', 'ال+']"
ماء شرب,"['.', 'ماء', 'شرب', 'ال+']"
ماء الشرب,"['.', 'ماء', 'ال+', 'بحر', 'و+']"
مياه الشرب,"['.', 'مياه', 'ال+', 'شرب', 'و+']"
مياه للشرب,"['.', 'مياه', 'ل+', '##ل', '+ة', '+ة']"
المشروبات,"['.', 'ال+', '##مش', '##روب', '##ات', 'و+']"
دريب ويب,"['.', '[رابط]', '[رابط]', 'ال+']"
دريتوس,"['.', '[رابط]', '+ة', 'ال+']"
قطرة,"['.', 'قطر', '+ة', '.']"
قطره,"['[رابط]', 'قطر', '+ه', '+ه']"
قطرات,"['.', 'قطر', '+ات', 'ال+']"
مخدر,"['.', 'مخدر', 'ال+']"
افخاذ,"['.', 'اف', '[UNK]', 'ال+']"
سكري,"['.', '[UNK]', 'ال+']"
دراي فود,"['.', '[رابط]', '+ة', '+ة']"
ليمون يابس,"['.', 'ليمون', '+ة', 'ال+']"
ليمون جاف,"['.', 'ليمون', 'جاف', 'ال+']"
حليب مجفف,"['.', 'حليب', 'مجفف', '+ة']"
حليب جاف,"['.', 'حليب', 'جاف', 'ال+']"
دراي شامبو,"['[رابط]', '[رابط]', '+ة', 'ال+']"
شامبو جاف,"['.', 'شامبو', 'جاف', '+ة']"
مجفف,"['.', '[رابط]', '+ة']"
دبي,"['.', 'دبي', '+ات']"
فشار دبي,"['.', 'كاريكاتير', 'دبي', '[رابط]']"
ماءدبي,"['.', 'ماء', '##دب', '##ي', '+ة']"
ماء دبي,"['[رابط]', 'كاريكاتير', '[رابط]', '+ة']"
مياه دبي,"['.', 'مياه', 'دبي', '+ة']"
داك,"['.', '[رابط]', 'ال+']"
بط,"['.', '[رابط]', 'ال+']"
بطا,"['.', 'بط', '##ا', '+ة']"
بطط,"['.', 'بط', '+ة', '+ة']"
دومبي,"['.', '[رابط]', '+ة', 'ال+']"
قهوه دانكن,"['.', 'قهو', 'ال+', 'دانك', 'ال+', 'ال+']"
دنجو,"['[رابط]', '[رابط]', '##و', '+ة']"
دانكن,"['.', 'دانك', '##ن', '.']"
ديو مشروب,"['.', 'ديو', 'مشروب', '+ات']"
ديوركس,"['.', 'ديور', '##كس', 'ال+']"
الدرة,"['.', 'ال+', 'صور', '+ة', 'و+']"
دوالي,"['.', '[رابط]', 'ال+']"
صبغ,"['.', 'عمال', '+ة']"
صبغه,"['[رابط]', 'كاريكاتير', '##ه', 'كاريكاتير']"
شامبو صبغ,"['.', '[رابط]', '[رابط]', '+ة']"
شامبو صبغه,"['.', 'ال+', '[رابط]', '+ة', 'ال+']"
صبغ شعر اسود,"['.', 'صبغ', 'شعر', 'أسود', 'ال+']"
ديناميت,"['.', '[رابط]', '+ة']"
هرده,"['.', '[رابط]', '+ه', '+ه']"
قطرة اذن,"['.', 'قطر', 'ال+', '!', 'و+']"
اعواد اذن,"['.', '.', '.', '.', '.']"
اعواد شوي,"['.', 'إح', '##اد', '[رابط]', '+ة']"
سماعة,"['.', 'سماع', '+ة', 'و+']"
سماعه,"['.', 'سماع', '+ة', '.']"
اقراط,"['.', '[رابط]', '##اط', 'ال+']"
سريعة التحضير,"['.', 'سريع', '##ة', 'ال+', 'ال+', '##حض', 'ال+', 'ال+']"
بخور,"['.', '.', '.']"
اكل سمك,"['.', 'ال+', '+ة', 'ال+']"
اكل القطة,"['.', 'نادي', 'ال+', 'حيا', '+ة', 'و+']"
اكل حيوانات,"['.', 'ال+', 'حيوان', 'ال+', 'ال+']"
اكل الحيوانات,"['.', 'أخبار', 'ال+', '##حي', '##وان', '##ات', 'كاريكاتير']"
اكل طيور,"['.', 'ال+', '+ة', 'ال+']"
اكل عصافير,"['.', 'ال+', 'عصافير', 'ال+']"
موز إكوادور,"['.', 'ال+', 'ال+', 'ال+']"
اكزيما,"['[رابط]', '[رابط]', 'ال+']"
ادامامي,"['.', '[رابط]', '+ة', 'ال+']"
ادمامي,"['.', '[رابط]', '[رابط]', '+ة']"
افندي,"['.', '[رابط]', '+ه']"
بيض,"['.', '[UNK]', 'ال+']"
جبنة بيضة,"['.', 'جبن', '+ة', 'بيض', '##ة', '+ة']"
جبنه بيضه,"['.', 'جبن', '##ه', 'بيض', '##ه', 'ال+']"
بيذنجان,"['.', 'بي', 'ساب', '.', '+ة']"
باذنجان,"['.', '[UNK]', 'ال+']"
البيض,"['.', 'ال+', '##بي', '##ض', '+ة']"
بيض واره,"['.', 'بيض', 'ال+', '##ار', '##ه', '+ت']"
مصري,"['.', '10', '+ه']"
بطاطس مصر,"['.', 'كاريكاتير', 'مصر', '+ة']"
عيش مصري,"['.', 'عيش', 'مصري', 'كاريكاتير']"
خبز مصري,"['.', 'خبز', 'مصري', '.']"
ارز مصرى,"['[رابط]', 'أرز', 'مصرى', 'ال+']"
ارز مصري,"['.', 'فيلم', 'مصري', '.']"
حب مصري,"['.', 'حب', 'مصري', '.']"
بطاطس مصرية,"['.', 'بطاطس', 'مصري', '+ة', '+ة']"
أرز مصري,"['.', 'أرز', 'مصري', '.']"
رز مصري,"['.', 'رز', 'مصري', '.']"
بزر مصري,"['.', 'كاريكاتير', 'مصري', 'كاريكاتير']"
حفاظات كبار السن,"['.', 'حفاظ', '##ات', 'كبار', 'ال+', 'سن', 'ال+']"
حفاضات كبار السن,"['.', 'حفاض', '+ات', 'كبار', 'ال+', 'سن', '+ة']"
كهربائية,"['+ة', 'كهربائي', '+ة', '+ة']"
